Run order;SampleID;SampleGroup;Batch;Vol;Side;OldBatch;ExclPOS;ExclNEG;H;Animal;Filename POS;Filename NEG;Anesthetic
98;71H;NH;3;=;H;1;Y;N;Y;71;KP_170329_BK5326_116;;Ketalar
122;71V;NH;4;=;V;1;N;N;Y;71;KP_170329_BK5326_140;;Ketalar
41;72H;NH;1;=;H;4;N;N;Y;72;KP_170329_BK5326_059;;Ketalar
43;72V;NH;1;<;V;4;N;N;Y;72;KP_170329_BK5326_061;;Ketalar
54;74H;H;2;=;H;3;N;N;Y;74;KP_170329_BK5326_072;;Ketalar
110;74V;H;4;=;V;3;Y;N;Y;74;KP_170329_BK5326_128;;Ketalar
18;75H;H;1;=;H;2;N;N;Y;75;KP_170329_BK5326_036;;Ketalar
116;75V;H;4;=;V;1;N;N;Y;75;KP_170329_BK5326_134;;Ketalar
58;76V;H;2;<;V;4;N;N;Y;76;KP_170329_BK5326_076;;Ketalar
84;76H;H;3;=;H;2;N;Y;Y;76;KP_170329_BK5326_102;;Ketalar
62;77V;NH;2;<<;V;4;N;N;Y;77;KP_170329_BK5326_080;;Ketalar
120;77H;NH;4;=;H;1;N;N;Y;77;KP_170329_BK5326_138;;Ketalar
44;78H;NH;2;=;H;2;N;Y;Y;78;KP_170329_BK5326_062;;Ketalar
102;78V;NH;4;=;V;1;N;N;Y;78;KP_170329_BK5326_120;;Ketalar
49;79H;NH;2;=;H;2;N;N;Y;79;KP_170329_BK5326_067;;Ketalar
50;79V;NH;2;=;V;4;N;N;Y;79;KP_170329_BK5326_068;;Ketalar
19;80H;NH;1;=;H;1;N;N;Y;80;KP_170329_BK5326_037;;Ketalar
